date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:39	30170/30170	---M-Z	200	added ('OK')	text/html	etag:%2275da-65a8b3a6-daa75032102fc74e;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html	(from )
21:41:39	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6187ad5b-de6f449e9d21e832;gz%22	https://shivaaythemes.in/robots.txt		(from )
21:41:39	6583/6583	---M--	200	added ('OK')	image/png	etag:%2219b7-65a8b49c-2dfdaed37ab9c37f;;;%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/images/favicon.png	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/images/favicon.png	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
21:41:39	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-65a8b464-6fb90d8c893682da;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/bootstrap.min.css	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/bootstrap.min.css	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
21:41:40	8194/8194	---M-Z	200	added ('OK')	text/css	etag:%222002-65a8b462-d3b4db4252760ad4;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/bootstrap-datetimepicker.min.css	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/bootstrap-datetimepicker.min.css	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
21:41:40	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%225cbb-65a8b464-a6982b60f533187e;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/font-awesome.min.css	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/font-awesome.min.css	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
21:41:40	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-65a8b465-3c29b1f40905afdf;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/slick.css	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/slick.css	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
21:41:40	3153/3153	---M-Z	200	added ('OK')	text/css	etag:%22c51-65a8b465-83fe460b139452dc;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/slick-theme.css	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/slick-theme.css	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
21:41:41	22251/22251	---M-Z	200	added ('OK')	text/css	etag:%2256eb-65a8b467-388303cfbfd030d0;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/swiper.css	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/swiper.css	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
21:41:41	77907/77907	---M-Z	200	added ('OK')	text/css	etag:%2213053-65a8b463-ab6f8c91cde490b6;gz%22	https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/animate.css	D:/My%20Web%20Sites/demo4/shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/assets/css/animate.css	(from https://shivaaythemes.in/foodecart-demo/Multiple_Pages/Homepage_2/index.html)
